ID,Name,Rank,Rarity_Score,Agility,Armor,Attributes,Aura,Background,Body,Eye,Face,Force,Helmet,Intelligence,Jewelry,Mouth,Rank,Scar,Type
186,TezoTrooperz #186,417,682.058443230953,75,Viking Green,13,,Background GradientNoise Yellow,Body 2 Massai Blue,Eyes 4 Yellow,MakeUp Indian Purple 2,90,Hairs 5 Blond,85,Bullet Gold,Mouth 1,Queen,Scar 1,
189,TezoTrooperz #189,418,681.7249161079652,80,Geisha Black,13,,Background Legend Green,Body 4 Massai Brown 2,Eyes 1 Blue,MakeUp Indian Blue 1,90,Viking Blue,80,Bullet Base,Mouth Angry,Troop Leader,Scar 9,
197,TezoTrooperz #197,419,681.45306240752,80,Cowboy Gold,13,,Background Gradient Blue,Body 1,Eyes 2 White,Viking Mustache LightBlond,90,Mercenary Orange,80,Massai White,Mouth 4,Troop Leader,Scar 6,
849,TezoTrooperz #849,420,681.2073424041258,80,Massai Green,13,,Background Gradient Red,Body 2 Fanatic Red,Eyes 4 Red,MakeUp Massai Yellow 2,90,Hairs 2 Blond,80,Neck Gold,Mouth Toothpick,Troop Leader,Scar 10,
1079,TezoTrooperz #1079,421,681.1705959924998,75,Ghost Grey,14,Blue,Background Gradient Red,Body 2 Viking Black,Eyes 4 Yellow,MakeUp Indian Blue 3,90,Cowboy gold,85,Viking Gold,Mouth 1,Queen,Scar 9,
757,TezoTrooperz #757,422,680.8671657941647,80,Indian Blue,12,,Background Gradient DeepBlue,Body 4 Dragon Grey,Eyes 4 Yellow,Mask White Gold,90,Hairs 3 Orange,80,Bullet White,Mouth Angry,Troop Leader,,
1590,TezoTrooperz #1590,423,680.5090025437058,80,Indian Blue,11,,Background Line Purple,Body 2 Massai Blue,Eyes 4 Red,,90,Ghost Green,80,,Mouth 2,Troop Leader,Scar 6,
1278,TezoTrooperz #1278,424,680.2480880763093,75,Viking Yellow,13,,Background Gradient Red,Body 2 Massai Blue,Eyes 1 Blue,Mask Skull Blue,90,CowboyHat Blue,85,Bullet Gold,Mouth 2,Queen,Scar 8,
1565,TezoTrooperz #1565,425,680.024697528884,90,CowboyGear Orange,13,,Background Line Red,Body 3 Fanatic Purple,Eyes 2 Red,Mask Blue,95,Cowboy Gold,60,Viking Gold,Mouth 1,Warrior,Scar 1,
1461,TezoTrooperz #1461,426,679.6210102432428,85,Massai Red,11,,Background GradientNoise Blue,Body 1,Eyes 3 Green,,90,Hairs 3 Black,70,Viking Metal,Mouth 2,Long Range,,
31,TezoTrooperz #31,427,678.9487938510878,90,Massai Green,12,,Background Gradient Red,Body 1 Yakusa Green,Eyes Cyber 4,,95,Hairs 3 Orange,60,Bullet Gold,Mouth 4,Warrior,Scar 1,
601,TezoTrooperz #601,428,678.446542105261,90,Cowboy Red,14,Green,Background Line Purple,Body 4 Massai White,Eyes 3 Yellow,MakeUp Gow Blue,95,SpecialForce Blue,60,Viking Blackmetal,Mouth 1,Warrior,Scar 8,
884,TezoTrooperz #884,429,678.0147819659492,85,Ghost Gold,13,,Background Gradient Orange,Body 4 Yakusa Blue,Eyes 3 Blue,MakeUp Viking Black 3,90,Hairs 1 Red,70,Logo Grey,Mouth Toothpick,Long Range,Scar 7,
19,TezoTrooperz #19,430,677.1031182073835,85,Commando Blue,12,,Background GradientNoise Yellow,Body 3 Massai Black,Eyes 3 Green,,90,CowboyHat Black,70,Viking Gold,Mouth 1,Long Range,Scar 8,
1573,TezoTrooperz #1573,431,676.9397517188341,90,Indian Black,13,,Background GradientNoise Yellow,Body 1 Viking Blue,Eyes 1 Red,MakeUp Indian Purple 3,95,Cowboy gold,60,Ronin Blue,Mouth Toothpick,Warrior,Scar 6,
1562,TezoTrooperz #1562,432,676.8133373442089,90,Indian Robot Purple,13,,Background GradientNoise Blue,Body 2,Eyes 4 Red,Mask Blue,95,Ronin Purple Hair,60,Plate Warrior,Mouth Angry,Warrior,Scar 9,
781,TezoTrooperz #781,433,676.8019803119134,85,Viking 2 Yellow,14,Pink,Background Motif Red,Body 3,Eyes 1 Green,Viking Beard _ Mustache Blond,90,Mercenary No Glass Red,70,Viking Gold,Mouth 5,Long Range,Scar 5,
415,TezoTrooperz #415,434,676.7828935110537,90,CowboyGear Black,12,,Background Motif Gradient Red,Body 4 Yakusa Green,Eyes 3 Blue,Commando Mustache White,95,Hairs 2 Light Blond,60,Logo Grey,Mouth 4,Warrior,,
784,TezoTrooperz #784,435,675.9215900959159,85,Indian Robot Red,12,,Background Motif Yellow,Body 4 Fanatic Red,Eyes 1 Special 3,,90,Hairs 2 Blond,70,Logo Black,Mouth 4,Long Range,Scar 7,
259,TezoTrooperz #259,436,675.5782867309397,90,SpecialForce Blue,12,,Background Gradient Blue,Body 2 Viking Red,Eyes Cyber 2,MakeUp Blue Pink,95,Ronin Purple,60,,Mouth Toothpick,Warrior,Scar 2,
1167,TezoTrooperz #1167,437,674.3592760206401,80,Geisha Red,12,,Background Motif Yellow,Body 2 Massai Yellow 2,Eyes 1 Yellow,,90,Viking Black,80,Neck White,Mouth 5,Troop Leader,Scar 5,
613,TezoTrooperz #613,438,674.3090467100977,90,Ronin Purple,13,,Background Motif Gradient Red,Body 2,Eyes 2 Yellow,Commando Beard _ Mustache Blond Light,95,Mercenary Red,60,Viking Blackmetal,Mouth 4,Warrior,Scar 4,
328,TezoTrooperz #328,439,673.5907788643731,85,Mercenary Cape Black,13,,Background Gradient Orange,Body 1,Eyes 1 Brown,Commando Mustache Black,90,Viking Blue,70,Logo Black,Mouth 3,Long Range,Scar 8,
1516,TezoTrooperz #1516,440,673.5033077321215,80,Indian Black,13,,Background Line Orange,Body 3 Fanatic Yellow,Eyes 2 Yellow,Mask Blue,90,Hairs 5 Black,80,Neck White,Mouth 2,Troop Leader,Scar 5,
793,TezoTrooperz #793,441,672.814656185063,90,Viking Black,13,,Background Gradient DeepBlue,Body 3 Massai White,Eyes 1 Yellow,MakeUp Viking Black 1,95,Indian Red,60,Neck White,Mouth Smoke,Warrior,Scar 1,
688,TezoTrooperz #688,442,672.7016629864731,85,Ghost Grey,13,Green,Background Motif Gradient Green,Body 4 Massai Black,Eyes 4 Brown,Mask Red,90,Hairs 3 Brown,70,Logo Gold,Mouth Toothpick,Long Range,,
1459,TezoTrooperz #1459,443,671.9364876105041,90,Ronin Red,12,,Background Motif Gradient Blue,Body 2 Dragon Grey,Eyes 3 Yellow,Mask Yellow,95,Hairs 1 Brown,60,,Mouth 5,Warrior,Scar 4,
1234,TezoTrooperz #1234,444,671.6573152988612,90,CowboyGear Blue,13,,Background Gradient Red,Body 1 CyberSkin Gold,Eyes 1 Brown,MakeUp Gow Blue,95,Hairs 3 Blond,60,Viking White,Mouth 2,Warrior,Scar 2,
1311,TezoTrooperz #1311,445,671.5470310865308,90,Ronin Gold,13,,Background Motif Yellow,Body 4 Black CyberSkin,Eyes 1 Blue,Commando Beard _ Mustache Blond,95,Hairs1 White,60,Military Plate Futurist Yellow,Mouth 4,Warrior,Scar 7,
1484,TezoTrooperz #1484,446,670.724175218937,85,SpecialForce Base,13,Yellow,Background Line Red,Body 3 Dragon,Eyes 2 Yellow,,90,Hairs 5 Brown,70,Bullet,Mouth 2,Long Range,Scar 4,
101,TezoTrooperz #101,447,670.558019627652,90,Commando Blue,13,,Background GradientNoise Blue,Body 4 Fanatic Red,Eyes 3 Blue,Viking Beard _ Mustache Brown,95,SpecialForce Orange,60,Viking White,Mouth 4,Warrior,Scar 8,
434,TezoTrooperz #434,448,670.4553435445076,85,Ronin Red,12,,Background Gradient Yellow,Body 3,Eyes 4 Yellow,,90,Hairs 1 Blond,70,Plate Queen,Mouth Angry,Long Range,Scar 1,
1151,TezoTrooperz #1151,449,669.7039243764143,80,Cowboy Black,14,Purple,Background GradientNoise Blue,Body 2 Massai Yellow 2,Eyes 4 Green,MakeUp Indian Blue 2,90,Hairs 2 Brown,80,Logo Black,Mouth 2,Troop Leader,Scar 10,
433,TezoTrooperz #433,450,669.1157765342493,80,SpecialForce Blue,12,,Background Gradient Red,Body 4 Massai Black,Eyes 3 Brown,,90,Hairs 3 Orange,80,Ronin Blackmetal,Mouth 4,Troop Leader,Scar 7,
216,TezoTrooperz #216,451,668.9565236563367,90,Indian Purple,13,,Background Motif Green,Body 3 Yakusa Yellow,Eyes 3 Green,MakeUp Viking Blue 3,95,Hairs 1 White,60,Bullet White,Mouth 1,Warrior,Scar 7,
1509,TezoTrooperz #1509,452,668.5565304173709,90,Indian Purple,11,,Background GradientNoise Yellow,Body 2,Eyes 4 Brown,,95,Indian Black,60,Logo Gold,Mouth Angry,Warrior,,
837,TezoTrooperz #837,453,668.4734206357432,90,Mercenary Black,12,,Background Gradient DeepBlue,Body 4 Viking Red,Eyes Cyber 3,Cowboy Mustache Black,95,Hairs 5 Brown,60,Viking Metal,Mouth 5,Warrior,,
866,TezoTrooperz #866,454,667.2004102986439,90,Indian Blue,12,,Background Line Red,Body 3 Yakusa Yellow,Eyes Cyber 2,MakeUp Indian White 2,95,Cowboy Blue,60,Neck Blackmetal,Mouth 5,Warrior,,
1157,TezoTrooperz #1157,455,667.014468487167,85,Viking Gold,13,,Background Motif Yellow,Body 1,Eyes 2 Blue,Commando Mustache White,90,Samurai Kabuki Green,70,Bullet Gold,Mouth 4,Long Range,Scar 1,
41,TezoTrooperz #41,456,665.7488832509574,90,Cowboy Blue,13,,Background Line Green,Body 4 Dragon Red,Eyes Cyber 4,Cowboy Mustache Blond,95,CowboyHat Orange,60,Massai White,Mouth 1,Warrior,Scar 7,
989,TezoTrooperz #989,457,665.3866601871673,80,Ronin Purple,14,Red,Background Line Blue,Body 3 Yakusa Yellow,Eyes 3 Brown,Cowboy Mustache Black,90,Samurai Oni Gold,80,Viking Gold,Mouth 4,Troop Leader,Scar 7,
1550,TezoTrooperz #1550,458,665.1585350969897,80,Ronin Black,14,Yellow,Background Gradient Orange,Body 4 Dragon Grey,Eyes 2 Brown,MakeUp Gow White,90,SpecialForce Black,80,Bullet White,Mouth 1,Troop Leader,Scar 3,
1479,TezoTrooperz #1479,459,661.0922958709336,75,Indian Robot Purple,12,Blue,Background Motif Gradient Blue,Body 1 Viking Red,Eyes Cyber 7,MakeUp Indian Purple 1,90,Cowboy Red,85,,Mouth 5,Queen,,
572,TezoTrooperz #572,460,660.8434976490153,90,Indian Robot Gold,13,,Background Motif Purple,Body 4 Massai Brown,Eyes 1 Red,MakeUp Camouflage Blue,95,Ghost Grey,60,Viking Gold,Mouth 1,Warrior,Scar 10,
1398,TezoTrooperz #1398,461,660.707032286908,80,CowboyGear Red,13,Red,Background Motif Gradient Blue,Body 3 Massai Black,Eyes 2 Green,Mask Skull White,90,Hairs 4 Brown,80,Bullet Gold,Mouth Smoke,Troop Leader,,
80,TezoTrooperz #80,462,660.0728971839097,75,Ronin Black,13,,Background Motif Red,Body 4 Dragon Grey,Eyes Cyber 8,Cowboy Beard _ Mustache Brown,90,Viking Black,85,Massai Gold,Mouth 3,King,Scar 10,
1054,TezoTrooperz #1054,463,659.9684313802603,85,Geisha Gold,13,Red,Background Gradient Blue,Body 4 Massai Yellow,Eyes Cyber 8,,90,Cowboy gold,70,Ronin Blackmetal,Mouth Toothpick,Long Range,Scar 7,
582,TezoTrooperz #582,464,659.3233434802675,80,Indian Robot Purple,13,Blue,Background Gradient Orange,Body 2 Yakusa Red,Eyes 3 White,,90,Hairs 5 Black,80,Bullet Base,Mouth 1,Troop Leader,Scar 10,
161,TezoTrooperz #161,465,658.3049781343801,80,Mercenary Black,11,,Background GradientNoise Yellow,Body 1 Black CyberSkin,Eyes Cyber 5,,90,Hairs 4 Light Blond,80,Massai White,Mouth 5,Troop Leader,,
1161,TezoTrooperz #1161,466,658.2857240457262,85,Cowboy Blue,14,Pink,Background Gradient Orange,Body 3 Fanatic Red,Eyes 2 Blue,Cowboy Mustache Light Blond,90,Samurai Oni Black,70,Plate TroopLeader,Mouth 4,Long Range,Scar 6,
598,TezoTrooperz #598,467,658.2407067166713,90,Indian Robot Black,13,Yellow,Background Line Blue,Body 2 Massai Blue 2,Eyes 1 Green,,95,Hairs 3 Brown,60,Ronin Blue,Mouth 4,Warrior,Scar 7,
396,TezoTrooperz #396,468,658.1998350470094,90,Ghost Gold,12,,Background Motif Red,Body 3 Massai Brown 2,Eyes 1 Green,,95,Indian Purple,60,Bullet White,Mouth 2,Warrior,Scar 4,
1352,TezoTrooperz #1352,469,658.1312247752672,85,Mercenary Red,14,Green,Background Gradient Red,Body 2 Fanatic Red,Eyes 2 Blue,Cowboy Beard _ Mustache Blond Light,90,Viking Yellow,70,Massai White,Mouth 5,Long Range,Scar 9,
1386,TezoTrooperz #1386,470,658.0784128759777,85,Viking Green,13,,Background Gradient Blue,Body 2 Massai Brown 2,Eyes 2 Yellow,Mask Base,90,Viking Gold,70,Whitcher Medaillon,Mouth 2,Long Range,Scar 9,
1195,TezoTrooperz #1195,471,657.6945129635995,90,Viking Gold,14,Pink,Background Gradient Blue,Body 3 Massai Brown,Eyes 2 Green,Mask Skull Blue,95,Indian Gold,60,Logo Black,Mouth 2,Warrior,Scar 8,
62,TezoTrooperz #62,472,657.5132569559241,80,Mercenary Gold,11,,Background Line Red,Body 2 Massai Brown 2,Eyes 3 Green,,90,Ronin Gold,80,Plate Warrior,Mouth 1,Troop Leader,,
840,TezoTrooperz #840,473,656.8958480682505,90,SpecialForce Base,13,,Background Motif Gradient Blue,Body 3 Yakusa Blue,Eyes 2 Brown,Cowboy Mustache Blond,95,Hairs1 Light Blond,60,Bullet Gold,Mouth 3,Warrior,Scar 1,
861,TezoTrooperz #861,474,656.8462050284119,85,Ghost Green,13,Purple,Background Legend Purple,Body 2 Yakusa Yellow,Eyes Cyber 3,Mask Skull Yellow,90,Hairs 2 White,70,Viking Metal,Mouth 2,Long Range,,
1021,TezoTrooperz #1021,475,656.2713353282815,90,Ronin Blue,13,,Background Legend Yellow,Body 1 Fanatic Green,Eyes 2 White,MakeUp Massai Yellow 2,95,SpecialForce Base,60,Neck Gold,Mouth Angry,Warrior,Scar 8,
1464,TezoTrooperz #1464,476,656.1634121786599,85,Indian Robot Blue,12,Yellow,Background Gradient Yellow,Body 4 Massai Blue,Eyes 4 Red,,90,Hairs 4 Black,70,Viking Gold,Mouth 5,Long Range,,
892,TezoTrooperz #892,477,655.5932853775291,90,Viking Green,12,,Background GradientNoise Yellow,Body 1 Yakusa Blue,Eyes Cyber 3,Viking Beard _ Mustache Blond,95,Viking Green,60,,Mouth 5,Warrior,Scar 6,
644,TezoTrooperz #644,478,655.0692077997846,80,Geisha Blue,12,,Background Gradient Blue,Body 1 Massai Blue 2,Eyes 1 Blue,,90,SpecialForce Gold,80,Ronin White,Mouth 2,Troop Leader,Scar 9,
294,TezoTrooperz #294,479,654.7771977779523,85,Viking Yellow,12,,Background Gradient DeepBlue,Body 1 Dragon Blue Red,Eyes 1 Yellow,Mask Yellow,90,Cowboy Red,70,Viking Metal,Mouth 2,Long Range,,
1448,TezoTrooperz #1448,480,654.7561845284897,90,CowboyGear Black,14,Green,Background Motif Green,Body 3 Dragon Grey,Eyes 4 Red,MakeUp Indian White 3,95,CowboyHat Red,60,Neck Gold,Mouth 1,Warrior,Scar 8,
609,TezoTrooperz #609,481,654.3988989464896,80,Mercenary Cape Red,14,White,Background GradientNoise Green,Body 3 Dragon Red,Eyes 2 Red,Mask Yellow,90,Viking Black,80,Massai Gold,Mouth 5,Troop Leader,Scar 5,
442,TezoTrooperz #442,482,654.2854825750567,80,Samurai Red,14,Red,Background GradientNoise Green,Body 4 Dragon Blue Yellow,Eyes 3 Green,Mask Base,90,Hairs 2 White,80,Massai Blackmetal,Mouth 1,Troop Leader,Scar 2,
967,TezoTrooperz #967,483,654.0119182244779,90,CowboyGear Blue,13,,Background Gradient Green,Body 3 Viking Blue,Eyes 1 Blue,King Mustache Blond,95,CowboyHat Blue,60,Massai Gold,Mouth 2,Warrior,Scar 4,
335,TezoTrooperz #335,484,652.154648476381,80,Commando Base,13,,Background Legend Blue,Body 1,Eyes 1 Red,Mask Blue,90,Hairs 2 Brown,80,Plate TroopLeader,Mouth 1,Troop Leader,Scar 8,
878,TezoTrooperz #878,485,651.6343605477547,90,CowboyGear Orange,12,,Background GradientNoise Blue,Body 1 Dragon Gray,Eyes 3 Brown,Cowboy Beard _ Mustache White,95,CowboyHat Red,60,Military Plate Futurist Yellow,Mouth 4,Warrior,,
202,TezoTrooperz #202,486,650.6967162732254,90,Geisha Red,14,Yellow,Background Gradient Yellow,Body 3 Fanatic Blue,Eyes 2 Green,MakeUp Viking Blue 2,95,SpecialForce Blue,60,Ronin Blackmetal,Mouth 2,Warrior,Scar 7,
1305,TezoTrooperz #1305,487,649.5919525917908,85,Ghost Black,13,,Background Gradient Blue,Body 4 Massai White,Eyes 1 Blue,MakeUp Viking Black 2,90,Ronin Gold,70,Viking Gold,Mouth 3,Long Range,Scar 2,
663,TezoTrooperz #663,488,649.1856836776867,85,Indian Robot Blue,14,Pink,Background Motif Red,Body 2 Viking Black,Eyes 1 Blue,MakeUp Viking Black 1,90,Hairs 3 Brown,70,Neck White,Mouth 3,Long Range,Scar 3,
579,TezoTrooperz #579,489,648.4571388539541,85,Viking Green,14,Yellow,Background Gradient Yellow,Body 1 Massai Yellow 2,Eyes 1 Red,MakeUp Indian Purple 2,90,Hairs 1 Red,70,Bullet White,Mouth Toothpick,Long Range,Scar 10,
567,TezoTrooperz #567,490,648.3017731563287,90,SpecialForce Orange,13,Blue,Background Gradient Red,Body 3 Fanatic Green,Eyes 4 Yellow,,95,Cowboy Red,60,Bullet Base,Mouth Toothpick,Warrior,Scar 1,
518,TezoTrooperz #518,491,647.4212101825764,90,SpecialForce Blue,13,,Background Gradient Blue,Body 4,Eyes 3 Green,Cowboy Mustache Brown,95,Mercenary No Glass Black,60,Military Plate Futurist Red,Mouth 5,Warrior,Scar 8,
1598,TezoTrooperz #1598,492,646.5431559579663,90,SpecialForce Base,13,,Background Gradient Green,Body 4 Massai Yellow,Eyes 4 Red,MakeUp Indian White 1,95,Ghost Grey,60,Bullet White,Mouth 4,Warrior,Scar 9,
370,TezoTrooperz #370,493,645.7217207640324,85,SpecialForce Base,13,Green,Background Line Purple,Body 2 Massai Blue 2,Eyes 3 Green,,90,Ronin Red Hair,70,Ronin Blackmetal,Mouth 4,Long Range,Scar 6,
642,TezoTrooperz #642,494,645.7000249751326,75,Cowboy Red,12,,Background Legend Green,Body 1,Eyes 4 White,,90,CowboyHat Orange,85,Ronin Blue,Mouth 1,Queen,Scar 4,
16,TezoTrooperz #16,495,645.2007680687187,90,Viking Yellow,12,,Background GradientNoise Blue,Body 4 Fanatic Yellow,Eyes 1 Yellow,,95,CowboyHat Black,60,Viking Metal,Mouth 5,Warrior,Scar 4,
543,TezoTrooperz #543,496,644.6675976935131,80,Viking Gold,13,Blue,Background Line Green,Body 1,Eyes 2 Brown,King Beard _ Mustache Blond Light,90,Ronin Red,80,Viking Gold,Mouth 5,Troop Leader,,
1128,TezoTrooperz #1128,497,643.8201482062268,90,SpecialForce Green,12,,Background Gradient Red,Body 2 Massai Yellow 2,Eyes 1 Yellow,,95,Mercenary No Glass Orange,60,Viking Gold,Mouth 1,Warrior,Scar 4,
917,TezoTrooperz #917,498,641.3214166897985,90,CowboyGear Gold,14,Purple,Background Line Purple,Body 4 Fanatic Purple,Eyes 2 Red,Cowboy Mustache Black,95,SpecialForce Gold,60,Military Plate Futurist Yellow,Mouth 1,Warrior,Scar 1,
430,TezoTrooperz #430,499,639.7937492650931,85,CowboyGear Orange,13,,Background Gradient Red,Body 4 CyberSkin Gold,Eyes 2 Brown,MakeUp Indian White 3,90,CowboyHat Red,70,Ronin Blue,Mouth 2,Long Range,Scar 2,
1591,TezoTrooperz #1591,500,638.8785466093128,75,Viking Blue,13,White,Background GradientNoise Yellow,Body 4 Fanatic Blue,Eyes Cyber 8,MakeUp Gow Blue,90,Hairs 1 Black,85,,Mouth Smoke,Queen,Scar 1,
796,TezoTrooperz #796,501,638.2087540666942,90,Samurai Green,13,,Background GradientNoise Blue,Body 3 Yakusa Blue,Eyes 2 Brown,Commando Mustache Blond,95,Hairs 2 Light Blond,60,Logo Grey,Mouth 1,Warrior,Scar 1,
195,TezoTrooperz #195,502,637.9208244527958,90,CowboyGear Black,13,,Background Gradient DeepBlue,Body 2,Eyes 3 White,MakeUp Massai White 1,95,Indian Gold,60,Plate Warrior,Mouth Smoke,Warrior,Scar 2,
671,TezoTrooperz #671,503,637.8809519897649,80,SpecialForce Black,12,,Background Line Orange,Body 2 Fanatic Yellow,Eyes 3 Brown,MakeUp Viking Black 1,90,Hairs 4 Brown,80,Bullet Gold,Mouth 4,Troop Leader,,
491,TezoTrooperz #491,504,637.7371275950184,80,Cowboy Gold,12,,Background Gradient Yellow,Body 2 Massai Brown,Eyes Cyber 3,MakeUp Massai Yellow 1,90,Hairs 6 Brown,80,,Mouth 3,Troop Leader,Scar 6,
1468,TezoTrooperz #1468,505,637.4078606863684,85,SpecialForce Gold,11,,Background Motif Gradient Red,Body 3 Yakusa Green,Eyes 2 Blue,Mask Skull Blue,90,Viking Green,70,,Mouth 3,Long Range,,
1487,TezoTrooperz #1487,506,636.878565768587,90,Mercenary Cape Gold,12,,Background Gradient Green,Body 1 Massai Yellow 2,Eyes 1 Green,,95,Hairs 4 White,60,Plate LongRange,Mouth 2,Warrior,Scar 6,
944,TezoTrooperz #944,507,636.6513315625932,80,Viking Black,13,,Background GradientNoise Blue,Body 3 CyberSkin Gold,Eyes 1 Brown,MakeUp Massai Red 1,90,Viking Green,80,Neck White,Mouth 5,Troop Leader,Scar 2,
1252,TezoTrooperz #1252,508,636.1233136695114,90,Mercenary Cape Orange,13,,Background Motif Green,Body 1 Fanatic Green,Eyes 1 Green,Mask Blue,95,SpecialForce Green,60,Bullet White,Mouth 2,Warrior,Scar 7,
1114,TezoTrooperz #1114,509,634.5732947614546,90,Geisha Blue,13,,Background Gradient Green,Body 3 CyberSkin Gold,Eyes 2 Blue,MakeUp Viking Blue 2,95,SpecialForce Gold,60,Logo Gold,Mouth 5,Warrior,Scar 7,
544,TezoTrooperz #544,510,634.2908202110773,85,Ronin Black,13,,Background Gradient DeepBlue,Body 1 Fanatic Green,Eyes 2 Yellow,MakeUp Massai Red 1,90,Cowboy Red,70,Bullet Base,Mouth 3,Long Range,Scar 3,
1489,TezoTrooperz #1489,511,631.9596553320446,85,Ghost Black,10,,Background Motif Orange,Body 2 Yakusa Green,Eyes Cyber 6,,90,Hairs 2 White,70,,Mouth 5,Long Range,,
281,TezoTrooperz #281,512,631.0137792356073,90,Cowboy Gold,14,Yellow,Background Legend Purple,Body 2 Yakusa Green,Eyes 4 Brown,Mask Blue,95,Ronin Black,60,Logo Gold,Mouth 5,Warrior,Scar 4,
838,TezoTrooperz #838,513,630.712669907849,90,Ghost Gold,13,,Background Grayscale02,Body 3 Massai Brown,Eyes Cyber 6,Viking Beard _ Mustache Black,95,Cowboy Orange,60,Bullet,Mouth 1,Warrior,Scar 6,
890,TezoTrooperz #890,514,629.8441672784993,85,Viking Green,14,Green,Background GradientNoise Blue,Body 4 Gold CyberSkin,Eyes 3 Brown,Commando Beard _ Mustache White,90,Viking Green,70,Viking Metal,Mouth 5,Long Range,Scar 4,
931,TezoTrooperz #931,515,629.6076792184061,90,SpecialForce Green,13,,Background Gradient Yellow,Body 1 Dragon Gray,Eyes 3 Blue,Mask Red,95,Hairs1 Light Blond,60,Plate Warrior,Mouth 5,Warrior,Scar 10,
1347,TezoTrooperz #1347,516,629.157969476094,85,Commando Green,13,,Background Gradient Blue,Body 1 CyberSkin,Eyes 3 Brown,Viking Mustache Black,90,Hairs 4 Light Blond,70,Bullet Gold,Mouth 2,Long Range,Scar 3,
986,TezoTrooperz #986,517,628.8573272654899,90,CowboyGear Red,14,Green,Background Line Red,Body 4 Yakusa Yellow,Eyes 3 Blue,Commando Mustache Black,95,Ghost Brown,60,Bullet White,Mouth 4,Warrior,Scar 1,
912,TezoTrooperz #912,518,628.5105866310971,85,Ghost Gold,12,,Background Line Purple,Body 2 Dragon Blue Yellow,Eyes 3 Green,Commando Mustache White,90,,70,Plate LongRange,Mouth 4,Long Range,Scar 3,
845,TezoTrooperz #845,519,628.2143353601832,85,Ronin Purple,14,Yellow,Background GradientNoise Yellow,Body 2 Yakusa Purple,Eyes 3 Brown,Mask White Gold,90,Ronin Gold,70,Viking Gold,Mouth 2,Long Range,Scar 10,
249,TezoTrooperz #249,520,628.0718921689028,90,Cowboy Red,14,White,Background Motif Green,Body 1 Massai Brown 2,Eyes 2 Yellow,MakeUp Indian White 1,95,Cowboy Orange,60,Viking Metal,Mouth 5,Warrior,Scar 10,
788,TezoTrooperz #788,521,625.5331382291281,80,CowboyGear Blue,13,,Background Gradient Yellow,Body 4,Eyes 2 Yellow,Commando Mustache Brown,90,Mercenary No Glass Red,80,Massai Gold,Mouth 5,Troop Leader,Scar 9,
915,TezoTrooperz #915,522,625.4722983729591,90,Mercenary Orange,14,Pink,Background Line Purple,Body 1 Massai Brown 2,Eyes 3 Blue,Viking Beard _ Mustache Blond,95,Hairs 2 Black,60,Plate TroopLeader,Mouth 2,Warrior,Scar 3,
39,TezoTrooperz #39,523,625.4693554919108,85,Indian Purple,14,Green,Background Gradient Orange,Body 1 Viking Red,Eyes 3 Green,MakeUp Indian Blue 1,90,Hairs 3 Orange,70,Logo Gold,Mouth Toothpick,Long Range,Scar 10,
428,TezoTrooperz #428,524,625.4197973042216,75,Mercenary Purple,12,,Background Legend Blue,Body 2,Eyes 3 Green,Commando Beard _ Mustache White,90,Hairs 3 Blond,85,Plate LongRange,Mouth 5,King,,
283,TezoTrooperz #283,525,625.0941497770347,80,Massai Green,12,,Background Gradient Green,Body 3 Dragon Grey,Eyes 3 Brown,,90,Hairs 1 Black,80,Logo Grey,Mouth 5,Troop Leader,Scar 8,
395,TezoTrooperz #395,526,625.0349441745566,85,CowboyGear Orange,14,Pink,Background Gradient Red,Body 1,Eyes 3 Yellow,Mask Yellow,90,Commando Blue,70,Military Plate Futurist Yellow,Mouth 3,Long Range,Scar 7,
616,TezoTrooperz #616,527,624.0621971239075,85,Ghost Green,14,Pink,Background Gradient Orange,Body 2,Eyes 1 Green,King Mustache Blond Light,90,Ronin Blue,70,Bullet,Mouth 3,Long Range,Scar 3,
557,TezoTrooperz #557,528,624.0436829615993,80,Samurai Blue,13,,Background GradientNoise Blue,Body 3 Dragon Red,Eyes Cyber 3,Viking Mustache White,90,CowboyHat Black,80,Viking Blackmetal,Mouth 2,Troop Leader,Scar 7,
1248,TezoTrooperz #1248,529,623.9396363404093,90,Indian Blue,14,Green,Background Gradient Orange,Body 4 Massai Yellow,Eyes Cyber 4,MakeUp Indian Red 3,95,Hairs 5 White,60,Plate LongRange,Mouth Toothpick,Warrior,Scar 2,
467,TezoTrooperz #467,530,622.4097728973762,90,Cowboy Red,14,Green,Background Gradient Red,Body 3 Fanatic Red,Eyes 3 Blue,Commando Mustache White,95,Hairs 4 White,60,Bullet,Mouth 4,Warrior,Scar 9,
1389,TezoTrooperz #1389,531,621.5671011248704,90,Ronin Black,13,,Background Gradient Green,Body 2 Dragon Red,Eyes 2 Yellow,Viking Beard _ Mustache Brown,95,CowboyHat Black,60,Massai Gold,Mouth 4,Warrior,Scar 1,
799,TezoTrooperz #799,532,621.4532381476596,90,Massai Green,12,,Background GradientNoise Blue,Body 4 Yakusa Blue,Eyes 4 Green,,95,CowboyHat Gold,60,Logo Grey,Mouth Angry,Warrior,Scar 6,
1033,TezoTrooperz #1033,533,620.9397768354013,85,Ronin Red,13,,Background Line Red,Body 2 Viking Black,Eyes 3 Brown,Mask Green,90,Hairs 6 Black,70,Ronin White,Mouth 2,Long Range,Scar 3,
