ID,Name,Rank,Rarity_Score,Attributes,Background,Calligraphy,Eyes,Face,Facepaint,Headband,Mouth,Nose,Panel,Paper,Sign Panel,Signature,Special
407,Tezumura #407,135,744.0481180660591,12,Nami 05,Calligraphy,Disney Eyes,Marui Grey,Shogun 02,Toraman,Yellow Donut,Fuji,Star Knife Lime,Washi paper,Sign Panel 14,Signature,
744,Tezumura #744,136,742.1619454800953,12,Kirameki 01,Calligraphy,Kensa,Keen  Grey,Mononoke,Raja,Karasu,Wavy,Tate Byubu Midori,Washi paper,Sign Panel 00,Signature,
462,Tezumura #462,137,741.9952306923241,12,Polkadot 02,Calligraphy,Fighto!,Long Chin White,Heitai Indigo,Senior Demon,Tezos Chcco,Fuji,Sensu Indigo,Washi paper,Sign Panel 00,Signature,
520,Tezumura #520,138,740.1285112897053,12,Shodo 07,Calligraphy,Josu,Keen Beige,Shogun 02,Lady of Fun,Tez Coin 03,Bootsu,Shikaku Midori,Washi paper,Sign Panel 15,Signature,
352,Tezumura #352,139,736.8933813342519,12,Kusama 04,Calligraphy,Stunned,Long Chin Blue,Spades,Fisherman,Pink Donut,Indoman,Byubu Yellow,Washi paper,Sign Panel 10,Signature,
593,Tezumura #593,140,735.3334705329788,12,Wave Pattern 01,Calligraphy,Curious Eyes,Marui White,Kiss 01,Literati,Dali Punk Red,Groovy,Sensu Mikan,Washi paper,Sign Panel 02,Signature,
837,Tezumura #837,141,735.147191297347,12,Asagao 01,Calligraphy,Marubero,Sharp Blue,Mononoke,Daruma Demon,Tiny Lips,Yama,No Byoubu,Washi paper,Sign Panel 08,Signature,
897,Tezumura #897,142,732.9746197243447,12,Kusama 02,Calligraphy,Foxxy Lady,Rich Red,Spades,Kabuto,Tez Coin 02,Marui,Sensu Murasaki,Washi paper,Sign Panel 06,Signature,
911,Tezumura #911,143,731.0403308338034,12,Rose Madder,Calligraphy,Pirate,Keen White,Warrior Paint Red,Raja,Hmm...,Bootsu,Byubu Midori,Washi paper,Sign Panel 01,Signature,
138,Tezumura #138,144,730.6849719947327,12,Pixel 04,Calligraphy,Kensa,Rich Grey,Moyo 02,Kabuki on Ice,Yellow Donut,Fuji,Tate Byubu Midori,Washi paper,Sign Panel 03,Signature,
226,Tezumura #226,145,728.9166867368332,12,Marume 03,Calligraphy,Josu,Marui Brown,No Moyo,Dragon Demon,Cup Noodle,Fuji,Shikaku Green,Washi paper,Sign Panel 11,Signature,
273,Tezumura #273,146,728.9092577812244,12,Polkadot 02,Calligraphy,Konran,Sharp White,No Moyo,Knowledge God,Spaghetti,Wavy,Tate Byubu  Chairo,Washi paper,Sign Panel 14,Signature,
789,Tezumura #789,147,728.5956009990562,12,Malachite,Calligraphy,Snake Eyes,Rich Red,Warrior Paint Indigo,General of Maeda,Rainbow Vomit,Whictchy,Sembe 06,Washi paper,Sign Panel 11,Signature,
549,Tezumura #549,148,728.4147426833699,12,Pyramid 02,Calligraphy,Ruminate,Rich Purple,No Moyo,God of Sun,Dorobou,Hook,Tate Byubu  Yellow,Washi paper,Sign Panel 15,Signature,
310,Tezumura #310,149,725.6785042430375,12,Kumori 02,Calligraphy,Demon Eyes,Sharp Blue,David Thunder,Bushi 02,Biting Tooth,Coma,Byubu Lime,Washi paper,Sign Panel 08,Signature,
519,Tezumura #519,150,724.3388288513497,12,Kumo Dento 04,Calligraphy,Ronin Eyes,Rich White,Otafuku 02,Devil Kid 02,Uncle Grey Mustache,Sharpy,Star Knife Indigo,Washi paper,Sign Panel 08,Signature,
950,Tezumura #950,151,722.6395946761746,12,Crane,Calligraphy,Boring,Happy Beige,Warrior Paint Yellow,Emperor,Karasu,Wavy,Sensu Blue,Washi paper,Sign Panel 15,Signature,
769,Tezumura #769,152,720.3397357029431,12,Pixel 06,Calligraphy,Kurushi,Keen  Red,Omuri Kaki 01,Dorobo Girl,Foxy Smile,Sharpy,Byobu Murasaki,Washi paper,Sign Panel 11,Signature,
804,Tezumura #804,153,718.8291897157568,12,Polkadot 08,Calligraphy,Warrior Time!,Keen Beige,Frontman Navy,Literati,Tounge Out,Groovy,Star Knife Bue,Washi paper,Sign Panel 14,Signature,
904,Tezumura #904,154,718.0812942854816,12,German 01,Calligraphy,Shock,Happy Red,No Moyo,Electra,Thousand Tez 03,Fuji,Byubu Indigo,Washi paper,Sign Panel 09,Signature,
13,Tezumura #13,155,717.3160914664884,12,Hanga 02,Calligraphy,Serious Eyes,Keen White,Warrior Paint Blue,Devil Kid,Yellow Donut,Oldy,Byubu Indigo,Washi paper,Sign Panel 01,Signature,
881,Tezumura #881,156,717.1117002299258,12,Sagittal 05,Calligraphy,Naha Machi,Oval Grey,Manabi 02,Evil Kabuki,Cocktail,Fuji,No Byoubu,Washi paper,Sign Panel 05,Signature,
921,Tezumura #921,157,717.061524737473,12,Polkadot 06,Calligraphy,Rikka,Happy Beige,Frontman Yellow,Harajuku Blue,He He He,Keen,No Byoubu,Washi paper,Sign Panel 15,Signature,
447,Tezumura #447,158,716.2184276326835,12,Yen 02,Calligraphy,Third Eyes,Long Chin Blue,Majime 01,Harajuku Blue,Tounge Out,Fuji,Shikaku Lime,Washi paper,Sign Panel 13,Signature,
998,Tezumura #998,159,716.0370179288552,12,KumoDot 03,Calligraphy,Miure,Sharp White,Midori Shu,Bushi 01,Pink Donut,Oldy,Shikaku Midori,Washi paper,Sign Panel 11,Signature,
197,Tezumura #197,160,715.7567568854294,12,Kousaten 04,Calligraphy,Naha Machi,Rich Red,Yamato 03,Uchina Dancer,melon,Mahou,Star Knife Red,Washi paper,Sign Panel 10,Signature,
770,Tezumura #770,161,712.1245497297465,12,Yen 04,Calligraphy,What's up,Marui Grey,Warrior Paint Indigo,Kabuki God,Biting Tooth,Fuji,No Byoubu,Washi paper,Sign Panel 13,Signature,
539,Tezumura #539,162,708.8358372195689,12,Marume 02,Calligraphy,Grim,Marui Yellow,Shogun 02,Demon Kabuki,Ehhh!,Bat,No Byoubu,Washi paper,Sign Panel 01,Signature,
714,Tezumura #714,163,708.71356804258,12,Pixel 01,Calligraphy,Disney Eyes,Sharp  Beige,Yamato 03,Toraman,Mad,Hook,Shikaku Red,Washi paper,Sign Panel 01,Signature,
157,Tezumura #157,164,708.3239430498545,12,Coin Pattern 05,Calligraphy,Ruminate,Long Chin White,Manabi 04,Afro Koi,Wow,Roundy,Shikaku Rose,Washi paper,Sign Panel 12,Signature,
604,Tezumura #604,165,708.2276340784117,12,Yen 01,Calligraphy,Demon Eyes,Happy Beige,Majime 02,Viking,Red Lollipop,Fuji,Byubu Red,Washi paper,Sign Panel 01,Signature,
947,Tezumura #947,166,708.1937584803256,12,Taisha,Calligraphy,Serious Eyes,Long Chin Biege,Moyo 02,Punk Stars Red,Tezos Binky 02,Bat,Sensu Beige,Washi paper,Sign Panel 01,Signature,
302,Tezumura #302,167,707.7440283174335,12,Basketry 02,Calligraphy,Kabuki eyes,Oval Beige,Ao Shu,Demon Kabuki,Pizza,Indoman,No Byoubu,Washi paper,Sign Panel 08,Signature,
465,Tezumura #465,168,704.9173616507668,12,Maru Nami 02,Calligraphy,Konran,Rich White,Shogun 03,The prince,Smily,Roundy,No Byoubu,Washi paper,Sign Panel 07,Signature,
668,Tezumura #668,169,704.6315309994732,12,Pixel 05,Calligraphy,Grim,Happy White,Warrior Paint Blue,Roman Warrior,melon,Sharpy,No Byoubu,Washi paper,Sign Panel 09,Signature,
855,Tezumura #855,170,702.9494804054593,12,Rose Madder,Calligraphy,Curious Eyes,Oval Red,Yamato 03,Bushi 01,Warrior 03,Skull,Sensu Indigo,Washi paper,Sign Panel 07,Signature,
672,Tezumura #672,171,702.4366286536306,12,Crane,Calligraphy,Cute eyes,Rich Red,Spades,Harajuku Blue,Geisha,Hook,Shikaku Lime,Washi paper,Sign Panel 03,Signature,
800,Tezumura #800,172,700.9299868106491,12,Shibori 02,Calligraphy,Konran,Long Chin Blue,Mononoke,Golden Afro Goldfish,EHiiii,Lumpy,Tate Byubu  Red,Washi paper,Sign Panel 01,Signature,
807,Tezumura #807,173,699.8761537580638,12,Asagao 02,Calligraphy,Kabuki eyes,Oval Grey,No Moyo,Ronin 01,Dali Punk Black,Roundy,Shikaku Navy,Washi paper,Sign Panel 15,Signature,
437,Tezumura #437,174,699.8721279234787,12,Pyramid 04,Calligraphy,Disney Eyes,Long Chin Red,No Moyo,Buddha,Rainbow Vomit,Fuji,Shikaku Green,Washi paper,Sign Panel 09,Signature,
831,Tezumura #831,175,699.132065953338,12,Kousaten 05,Calligraphy,Disney Eyes,Oval white,Majime 03,The Artisan,Gzzz...,Lumpy,Shikaku Red,Washi paper,Sign Panel 10,Signature,
697,Tezumura #697,176,699.1139698822708,12,KumoDot 04,Calligraphy,Josu,Keen  Grey,Mononoke,Violet Demon,Cocktail,Marui,Star Knife Green,Washi paper,Sign Panel 05,Signature,
571,Tezumura #571,177,698.9607420052754,12,Sagittal 04,Calligraphy,Hitome,Sharp  Beige,Warrior Paint Red,Afro Koi,HaHaHa,Joker,Shikaku Midori,Washi paper,Sign Panel 08,Signature,
508,Tezumura #508,178,696.6772504691601,12,Fujiiro,Calligraphy,Naha Machi,Sharp Blue,Shogun 03,Takoman,Sexy Hey,Coma,No Byoubu,Washi paper,Sign Panel 04,Signature,
187,Tezumura #187,179,696.6018392884065,12,Coin Pattern 05,Calligraphy,Assassin,Sharp  Red,Mononoke,Demon Teen Green,Karasu,Hook,Tate Byubu  Red,Washi paper,Sign Panel 04,Signature,
22,Tezumura #22,180,696.3950370304249,12,Asagao 02,Calligraphy,Bushi Eyes,Oval white,Majime 03,King Mokey 01,Red Lollipop,Ringgu,No Byoubu,Washi paper,Sign Panel 13,Signature,
721,Tezumura #721,181,695.9994432895091,12,Doodle,Calligraphy,Rikka,Keen White,Majime 04,Bushi Senior,Red Lollipop,Bootsu,No Byoubu,Washi paper,Sign Panel 15,Signature,
235,Tezumura #235,182,695.4121251836106,12,Cerulean Blue,Calligraphy,Dotto,Marui White,Mononoke,Opera Actor 02,Antiuque Pipe,Joker,Star Knife Beige,Washi paper,Sign Panel 15,Signature,
783,Tezumura #783,183,692.1060579455662,12,Taisha,Calligraphy,Naha Machi,Happy Grey,Frontman Navy,Roman Warrior,Thousand Tez 01,Groovy,Sensu Murasaki,Washi paper,Sign Panel 04,Signature,
376,Tezumura #376,184,691.5116610713455,12,Yen 06,Calligraphy,Majime,Sharp White,No Moyo,Rich man Blue,Big Lips,Lumpy,No Byoubu,Washi paper,Sign Panel 00,Signature,
105,Tezumura #105,185,691.3194184113535,12,Polkadot 02,Calligraphy,Ronin Eyes,Sharp  Red,Omuri Kaki 01,Lady of Fun,Dali Punk Yellow,Fuji,No Byoubu,Washi paper,Sign Panel 12,Signature,
962,Tezumura #962,186,690.5149372953462,12,Sakura Ki 01,Calligraphy,Pirate,Keen  Red,Mononoke,Grand General,Hmm...,Buta,No Byoubu,Washi paper,Sign Panel 11,Signature,
597,Tezumura #597,187,686.3685796975917,12,Basketry 04,Calligraphy,Fighto!,Keen Beige,Kiss 01,Brave Man,Boring,Shimpuru,Tate Byubu Violet,Washi paper,Sign Panel 00,Signature,
966,Tezumura #966,188,686.0726158880549,12,Marume 01,Calligraphy,Gakumon,Rich White,Warrior Paint Yellow,Nomad,Gummy Balloon,Skull,No Byoubu,Washi paper,Sign Panel 06,Signature,
786,Tezumura #786,189,685.2938791776108,12,Coin Pattern 04,Calligraphy,Grim,Long Chin White,Shogun 03,Shibori Craftman,Dagger,Asura,No Byoubu,Washi paper,Sign Panel 14,Signature,
828,Tezumura #828,190,683.8423623509248,12,Botan,Calligraphy,Akuma,Long Chin Blue,Majime 05,Viking,Wow,Fuji,Shikaku Midori,Washi paper,Sign Panel 15,Signature,
247,Tezumura #247,191,683.6043275008549,12,Nami 03,Calligraphy,Kensa,Marui Yellow,Heitai Red,Dragon Demon,Tounge Out,Roundy,No Byoubu,Washi paper,Sign Panel 05,Signature,
654,Tezumura #654,192,681.426341378251,12,Golden,Calligraphy,Warrior Time!,Oval white,Kabuki 01,Samurai 02,Tiny Lips,Asura,No Byoubu,Washi paper,Sign Panel 02,Signature,
154,Tezumura #154,193,681.2907977062367,12,Coin Pattern 03,Calligraphy,Kensa 02,Happy White,Majime 01,Nomad boy,Tezos Binky 01,Coma,No Byoubu,Washi paper,Sign Panel 01,Signature,
644,Tezumura #644,194,679.8160752939467,12,Kumori 05,Calligraphy,Ruminate,Rich Beige,No Moyo,Brave Man,Tez Coin 03,Hook,Byobu Chairo,Washi paper,Sign Panel 03,Signature,
221,Tezumura #221,195,679.3885469460262,12,Hanga 01,Calligraphy,Sunglass,Long Chin Red,Frontman Yellow,The man,Smoking,Bootsu,No Byoubu,Washi paper,Sign Panel 11,Signature,
628,Tezumura #628,196,678.200276564579,12,Rose Madder,Calligraphy,Kensa,Happy Red,No Moyo,Golden Afro Koi,HUH !!!,Groovy,No Byoubu,Washi paper,Sign Panel 09,Signature,
629,Tezumura #629,197,677.7700069597678,12,Kusama 02,Calligraphy,Kensa,Happy Beige,Murasaki Shu,Viking,Bastard,Fuji,Shikaku Mikan,Washi paper,Sign Panel 01,Signature,
746,Tezumura #746,198,677.0346955752673,12,Asagao 01,Calligraphy,Majime,Sharp  Red,Warrior Paint Blue,Hyper Bot 03,Mad,Fuji,Shikaku Green,Washi paper,Sign Panel 13,Signature,
200,Tezumura #200,199,676.3659073827619,12,Marume 03,Calligraphy,Kensa,Sharp White,No Moyo,Greeny Demon,Wow Ha Ha,Mahou,Sensu Beige,Washi paper,Sign Panel 06,Signature,
587,Tezumura #587,200,675.9787760207641,12,Yamabuki,Calligraphy,Third Eyes,Rich Purple,No Moyo,Kabuki God Fire Kiro,Pink Donut,Bandage,Star Knife Bue,Washi paper,Sign Panel 10,Signature,
790,Tezumura #790,201,674.6338684263706,12,Kirameki 04,Calligraphy,Naha Machi,Oval Beige,Warrior Paint Red,The Artisan,Tezos Ice 01,Oldy,Byubu Midori,Washi paper,Sign Panel 09,Signature,
63,Tezumura #63,202,674.3131057996729,12,Kirameki 01,Calligraphy,Hitome,Keen Beige,Kiss 01,Kanuki Prince,Saiya Mouth,Ringgu,Byobu Murasaki,Washi paper,Sign Panel 01,Signature,
380,Tezumura #380,203,674.1487824037706,12,Kousaten 03,Calligraphy,Boring,Sharp Blue,Kabuki 01,The prince,Laughing,Lumpy,Shikaku Yellow,Washi paper,Sign Panel 05,Signature,
148,Tezumura #148,204,672.2721252748214,12,Nostalgia,Calligraphy,Charming,Sharp Blue,Ao Shu,Opera Actor,EHiiii,Bootsu,Shikaku Yellow,Washi paper,Sign Panel 03,Signature,
696,Tezumura #696,205,672.069763838144,12,Disco 03,Calligraphy,Foxy Lady 02,Sharp White,Shogun 01,Savant,Big Lips,Buta,No Byoubu,Washi paper,Sign Panel 00,Signature,
195,Tezumura #195,206,671.8025687776151,12,Golden,Calligraphy,Hitome,Sharp  Red,Kabuki Yellow,Ronin 01,EHiiii,Buta,No Byoubu,Washi paper,Sign Panel 13,Signature,
46,Tezumura #46,207,671.1339020772198,12,Carmine,Calligraphy,Dotto,Sharp  Red,Otafuku 04,Shibori Craftman,WhaAaaA,Yama,Tate Byubu  Red,Washi paper,Sign Panel 14,Signature,
133,Tezumura #133,208,671.0112371448107,12,Coin Pattern 01,Calligraphy,Stunned,Sharp Blue,Kabuki Red,Banzai Man,Ehhh!,Marui,Sensu Blue,Washi paper,Sign Panel 08,Signature,
817,Tezumura #817,209,670.953732770063,12,Yen 02,Calligraphy,Konran,Oval Beige,Shogun 03,Kanuki Prince,Big Lips,Yama,Byubu Yellow,Washi paper,Sign Panel 05,Signature,
748,Tezumura #748,210,670.2712766319389,12,German 02,Calligraphy,Kurushi,Sharp grey,Moyo 03,Prince of Tez,Ehhh!,Indoman,Tate Byubu  Green,Washi paper,Sign Panel 08,Signature,
64,Tezumura #64,211,669.2921722456758,12,Pyramid 03,Calligraphy,Yatta,Happy Beige,Kawaii,Maiko 03,melon,Asura,No Byoubu,Washi paper,Sign Panel 11,Signature,
693,Tezumura #693,212,669.0989622164367,12,Kirameki 02,Calligraphy,Thoughtful,Rich White,Frontman Red,Amaterasu,He He He,Buta,Shikaku Green,Washi paper,Sign Panel 08,Signature,
141,Tezumura #141,213,668.4118991168104,12,Kusama 02,Calligraphy,Shock,Marui White,No Moyo,Demon Teen Blue,Boring,Whictchy,No Byoubu,Washi paper,Sign Panel 12,Signature,
797,Tezumura #797,214,667.689958874359,12,Hanga 02,Calligraphy,Hero,Keen  Grey,Heitai Yellow,Punk Stars,Wow Ha Ha,Roundy,Sensu Momoiro,Washi paper,Sign Panel 10,Signature,
599,Tezumura #599,215,667.0475236410167,12,Polkadot 08,Calligraphy,Kensa,Marui Grey,No Moyo,Kabuki Crabman,Draqular,Sharpy,No Byoubu,Washi paper,Sign Panel 15,Signature,
582,Tezumura #582,216,666.9584646525142,12,Yen 05,Calligraphy,Kensa,Long Chin Blue,Midori Shu,Oni Fujin,HaHaHa,Ringgu,Byubu Indigo,Washi paper,Sign Panel 11,Signature,
657,Tezumura #657,217,666.5437728013171,12,Yen 02,Calligraphy,Katamari,Rich Grey,Manabi 01,Golden Afro Goldfish,Yellow Texas Mustache,Coma,No Byoubu,Washi paper,Sign Panel 09,Signature,
526,Tezumura #526,218,666.3031258193785,12,Nami 02,Calligraphy,What's up,Sharp  Red,Midori Shu,Uchina Dancer,Licking Lip,Hook,No Byoubu,Washi paper,Sign Panel 12,Signature,
932,Tezumura #932,219,666.2602799880757,12,Yen 06,Calligraphy,Konran,Keen Beige,Majime 01,Demon Kabuki,Pink Donut,Sharpy,No Byoubu,Washi paper,Sign Panel 12,Signature,
289,Tezumura #289,220,664.7481935189711,12,Maru Nami 04,Calligraphy,Josu,Sharp  Beige,Spades,The prince,Yellow Donut,Fuji,Byubu Red,Washi paper,Sign Panel 03,Signature,
844,Tezumura #844,221,664.63474534964,12,German 01,Calligraphy,Dotto,Marui Grey,Omuri Kaki 03,Merchant,Gummy Balloon,Ringgu,No Byoubu,Washi paper,Sign Panel 05,Signature,
162,Tezumura #162,222,664.564172918595,12,Kusama 04,Calligraphy,Kensa,Keen White,Otafuku 04,Maiko 01,Tezos Binky 01,Roboto,No Byoubu,Washi paper,Sign Panel 00,Signature,
898,Tezumura #898,223,663.8451454457836,12,Coin Pattern 05,Calligraphy,Disney Eyes,Rich Purple,Yamato 02,Red Pilot,Dali Punk Black,Mahou,No Byoubu,Washi paper,Sign Panel 03,Signature,
117,Tezumura #117,224,663.5367075145447,12,Nostalgia,Calligraphy,What's up,Keen White,Warrior Paint Indigo,Tezionalism,Hmm...,Whictchy,No Byoubu,Washi paper,Sign Panel 09,Signature,
939,Tezumura #939,225,663.369817526946,12,Kirameki 03,Calligraphy,Curious Eyes,Sharp  Beige,No Moyo,Bushi Senior,Mad,Lumpy,Star Knife Red,Washi paper,Sign Panel 04,Signature,
81,Tezumura #81,226,663.2623577860766,12,Pixel 07,Calligraphy,Kabuki eyes,Rich White,Frontman Yellow, Dorobo Man,Dorobou,Fuji,Byubu Lime,Washi paper,Sign Panel 06,Signature,
496,Tezumura #496,227,662.9404969082653,12,KumoDot 01,Calligraphy,Konran,Rich Purple,Omuri Kaki 03,Icecream Man,EHiiii,Bootsu,No Byoubu,Washi paper,Sign Panel 09,Signature,
331,Tezumura #331,228,658.5100863114383,12,Yen 03,Calligraphy,Grim,Sharp White,No Moyo,Maiko Worker,Bastard,Fuji,No Byoubu,Washi paper,Sign Panel 05,Signature,
123,Tezumura #123,229,657.0567062675312,12,Marume 01,Calligraphy,Pirate,Rich Purple,Moyo 02,Kabuki Ao,He He He,Fuji,No Byoubu,Washi paper,Sign Panel 05,Signature,
591,Tezumura #591,230,657.0159809744824,12,Fujiiro,Calligraphy,Assassin,Keen  Grey,No Moyo,Hyper Bot 01,Tezos Chcco,Fuji,Tate Byubu  Yellow,Washi paper,Sign Panel 13,Signature,
176,Tezumura #176,231,654.3933099724768,12,Fujiiro,Calligraphy,Demon Eyes,Marui Blue,Warrior Paint Indigo,Maiko Worker,Cocktail,Coma,Shikaku Murasaki,Washi paper,Sign Panel 01,Signature,
406,Tezumura #406,232,653.564827886689,12,Yen 06,Calligraphy,Warrior Time!,Happy Red,No Moyo,Rich man Blue,Sushi,Fuji,No Byoubu,Washi paper,Sign Panel 08,Signature,
801,Tezumura #801,233,653.3575823662999,12,Hineiro,Calligraphy,Cute eyes,Oval white,Frontman Navy,Afro Goldfish,Biting Yen,Fuji,Sensu Momoiro,Washi paper,Sign Panel 01,Signature,
343,Tezumura #343,234,652.6070900413526,12,Maru Nami 03,Calligraphy,Ruminate,Long Chin Biege,Manabi 04,Kabuki God Fire Ao,Smily,Whictchy,No Byoubu,Washi paper,Sign Panel 02,Signature,
992,Tezumura #992,235,651.6978538497199,12,Kirameki 02,Calligraphy,Kensa,Happy White,Warrior Paint Red,Oni Fujin,Bastard,Fuji,Sensu Indigo,Washi paper,Sign Panel 10,Signature,
808,Tezumura #808,236,650.2338731254413,12,Shodo 07,Calligraphy,HoHoemi,Rich Purple,Otafuku 01,Lil Girl,HUH !!!,Groovy,No Byoubu,Washi paper,Sign Panel 02,Signature,
264,Tezumura #264,237,650.0584232273434,12,Wave Pattern 01,Calligraphy,Thoughtful,Keen  Red,Warrior Paint Green,Harajuku Yellow,Licking Lip,Bandage,Sensu Blue,Washi paper,Sign Panel 01,Signature,
254,Tezumura #254,238,647.9835699072887,12,Kousaten 04,Calligraphy,Katamari,Rich Beige,Otafuku 03,Uchina Dancer,Tezos Binky 01,Fuji,Tate Byubu Midori,Washi paper,Sign Panel 06,Signature,
109,Tezumura #109,239,647.5260215732698,12,Rose Madder,Calligraphy,Foxy Lady 02,Marui Yellow,Ao Shu,Daimyo,Candy,Fuji,Star Knife Green,Washi paper,Sign Panel 03,Signature,
923,Tezumura #923,240,647.2834653908286,12,Pixel 01,Calligraphy,Kensa,Sharp White,Aka Shu,Kabuki on Ice,He He He,Roboto,No Byoubu,Washi paper,Sign Panel 03,Signature,
945,Tezumura #945,241,647.1154564290632,12,Shibori 03,Calligraphy,Snake Eyes,Long Chin White,Warrior Paint Indigo,Bushi 02,Cup Noodle,Whictchy,No Byoubu,Washi paper,Sign Panel 12,Signature,
282,Tezumura #282,242,646.9303756721306,12,Kousaten 03,Calligraphy,Ruminate,Rich Grey,Kiss Star,Kabuto,Dali Punk Yellow,Fuji,No Byoubu,Washi paper,Sign Panel 09,Signature,
975,Tezumura #975,243,646.8964887934907,12,Kusama 03,Calligraphy,Thoughtful,Happy Beige,Warrior Paint Yellow,Daimyo of Nikko,Gummy Balloon,Yama,Sensu Momoiro,Washi paper,Sign Panel 14,Signature,
453,Tezumura #453,244,646.5224077308692,12,Kumo Dento 01,Calligraphy,Foxxy Lady,Long Chin Biege,Majime 04,Grand General,Tez Coin 02,Oldy,Star Knife Beige,Washi paper,Sign Panel 11,Signature,
290,Tezumura #290,245,644.6762208083406,12,Fujiiro,Calligraphy,Cute eyes,Oval white,David Thunder,Knowledge God,Gzzz...,Fuji,Star Knife Beige,Washi paper,Sign Panel 08,Signature,
578,Tezumura #578,246,643.3395221409457,12,Golden,Calligraphy,Grim,Sharp Blue,Omuri Kaki 01,Girl,Hmm...,Shimpuru,Shikaku Murasaki,Washi paper,Sign Panel 06,Signature,
41,Tezumura #41,247,643.1914656258201,12,KumoDot 04,Calligraphy,Assassin,Oval Grey,Otafuku 01,Greeny Demon,Mad,Wavy,No Byoubu,Washi paper,Sign Panel 00,Signature,
874,Tezumura #874,248,643.0892273467717,12,Coin Pattern 03,Calligraphy,Ruminate,Happy White,Spades,Grand General,Tezos Ice  03,Coma,No Byoubu,Washi paper,Sign Panel 09,Signature,
819,Tezumura #819,249,642.8588994080238,12,Carmine,Calligraphy,Grim,Marui Brown,Heitai Red,Harajuku Aka,Hmm...,Oldy,Shikaku Midori,Washi paper,Sign Panel 00,Signature,
229,Tezumura #229,250,642.6680274939929,12,Taisha,Calligraphy,Comedian,Long Chin Biege,Yamato 03,Oni Fujin,Napkin,Fuji,No Byoubu,Washi paper,Sign Panel 03,Signature,
1003,Tezumura #1003,251,642.2006047399657,12,Basketry 03,Calligraphy,Kensa,Marui Yellow,Midori Shu,Red Pilot,Sushi,Yama,Shikaku Mikan,Washi paper,Sign Panel 14,Signature,
535,Tezumura #535,252,641.5840390388223,12,Carmine,Calligraphy,Thoughtful,Happy White,Yamato 02,Brave Man,Draqular,Buta,No Byoubu,Washi paper,Sign Panel 12,Signature,
996,Tezumura #996,253,641.3180016823062,12,Nami 01,Calligraphy,Third Eyes,Marui Brown,Midori Shu,Daimyo,EHiiii,Whictchy,No Byoubu,Washi paper,Sign Panel 13,Signature,
377,Tezumura #377,254,640.1204470854248,12,KumoDot 01,Calligraphy,Kensa 02,Oval Beige,No Moyo,Nobility,EHiiii,Keen,No Byoubu,Washi paper,Sign Panel 10,Signature,
411,Tezumura #411,255,635.9340231292889,12,Botan,Calligraphy,Funny Eyes,Keen  Red,Otafuku 02,Hyper Bot 02,Tounge Out,Shimpuru,Byubu Indigo,Washi paper,Sign Panel 14,Signature,
757,Tezumura #757,256,635.7937584803256,12,Taisha,Calligraphy,Assassin,Rich Beige,Ao Shu,Shinto priest,Dagger,Coma,Star Knife Beige,Washi paper,Sign Panel 01,Signature,
954,Tezumura #954,257,635.7514127965824,12,Cerulean Blue,Calligraphy,Monsta!!,Sharp  Beige,Spades,Viking,Pink Donut,Ringgu,Star Knife Bue,Washi paper,Sign Panel 15,Signature,
294,Tezumura #294,258,635.0516292137112,12,Sagittal 03,Calligraphy,Kabuki Eyes02,Marui Beige,No Moyo,Nomad boy,Thousand Tez 03,Fuji,Sensu Momoiro,Washi paper,Sign Panel 06,Signature,
740,Tezumura #740,259,634.7658073270014,12,German 01,Calligraphy,Ruminate,Long Chin Biege,Manabi 03,High Maiko,Spaghetti,Groovy,Star Knife Lime,Washi paper,Sign Panel 15,Signature,
422,Tezumura #422,260,634.7431913194813,12,Shibori 03,Calligraphy,Dotto,Oval white,Frontman Red,Ronin 02,Dali Punk Yellow,Keen,No Byoubu,Washi paper,Sign Panel 11,Signature,
222,Tezumura #222,261,634.7365806127008,12,Pixel 03,Calligraphy,Charming,Oval white,Heitai Red,Daruma Demon,WEW,Fuji,No Byoubu,Washi paper,Sign Panel 04,Signature,
359,Tezumura #359,262,633.7742231769193,12,Pyramid 04,Calligraphy,Disney Eyes,Keen White,Omuri Kaki 02,Afro Koi,Tez Coin 02,Buta,Tate Byubu Midori,Washi paper,Sign Panel 06,Signature,
538,Tezumura #538,263,632.1422565067658,12,Shodo 07,Calligraphy,Charming,Sharp grey,Omuri Kaki 04,O-bake,Tezos Binky 02,Indoman,No Byoubu,Washi paper,Sign Panel 01,Signature,
781,Tezumura #781,264,631.5942541043836,12,Sakura Iro,Calligraphy,Kashira,Keen Beige,No Moyo,Afro Goldfish,EHiiii,Lumpy,Sensu Beige,Washi paper,Sign Panel 14,Signature,
441,Tezumura #441,265,631.3088838104035,12,Torinokoiro,Calligraphy,Disney Eyes,Oval Red,Yamato 01,General of Maeda,Geisha,Whictchy,Tate Byubu  Green,Washi paper,Sign Panel 07,Signature,
692,Tezumura #692,266,630.787901020111,12,Kumori 02,Calligraphy,Stunned,Sharp Blue,Majime 03,Nomad Samurai,WhaAaaA,Oldy,No Byoubu,Washi paper,Sign Panel 03,Signature,
125,Tezumura #125,267,630.5159878654256,12,Kirameki 04,Calligraphy,Konran,Marui Grey,Otafuku 03,Daimyo,Tezos Binky 01,Whictchy,Byubu Lime,Washi paper,Sign Panel 09,Signature,
