ID,Name,Rank,Rarity_Score,Attributes,Backdrop,Backdrop Shape,Barnet,Body,Bodymod,Clothing,Collar,Cultural Artefact,Eyeware,Face,Face Accessory,Familiar,Groom,Hat,Hat Hair,Head Gear,Head Ornamentation,Heroes,Hood,Look,Mask,Name,Piercings,Special Figure,Special Head,Status,Tattoo
3043,VesselsGen0 #3043,1102,4140.176453542005,9,Love Mist,,,,,Black Samurai Body Armour,,,NEONZ ARZ,,,Aubi,,,,,MSKD Horns,,,Supergood,,Omiss,,Ape Body,King Of Furries ,,
4852,VesselsGen0 #4852,1103,4140.158668167626,14,The Kraken Wakes,Circle,,Gen-0_C,Bodymod [EMPTY],Americas Dress,,,NEONZ ARZ,Sideways Glance Male,Plaster,Pigmy Hooter,Handlebars,Henry's,,,MSKD Horns,,,Supergood,,Rio,,,,,
2951,VesselsGen0 #2951,1104,4139.943059327157,13,Devil Wings,,Rough Bob,Hulkin,Death Paint,Malfette's Armour,,,Neonz Vizor,Witch Eyes,Face_Accessory_Freckles,Aubi,,,,,MSKD Horns,,,Happy,,Seyst,,,,,Tattoo_A
3631,VesselsGen0 #3631,1105,4139.751910333305,10,Bling,,,,,OINKY Riot Gear,,,NEONZ ARZ,,Face_Accessory_Freckles,Ice Scar,,,,,,,,The Blues,Siberian Head Gear,Kesh,,Deep One,Fish Face,,
600,VesselsGen0 #600,1106,4139.4489649190555,15,Can You Feel The Magic,,,Gen-0_B,Face Palm,Pink Tee,Collar [EMPTY],,Glasses [EMPTY],Male Face,Plaster,Familiar [EMPTY],The Ghibli,The Bowler,,,Head Ornament [EMPTY],,,Supergood,,Ewanishi,,,,,Tattoo_C
2750,VesselsGen0 #2750,1107,4139.126688435033,14,Mech,Circle,,Gen-0_A,Bodymod [EMPTY],Siberian Dress,,,Glasses [EMPTY],Rage Face,Plaster,Monster,The 5 O'clock,War Pig,,,Ciggie,,,Happy,,Lyric,,,,,
730,VesselsGen0 #730,1108,4138.952145118713,10,Mech,Circle,,Gen-0_A,,Neodandy,,,NEONZ ARZ,Sideways Glance Female,,,,,,Peter's,,,Head Scarf 1,Supergood,,Omawar,,,,,
4969,VesselsGen0 #4969,1109,4138.92154227248,11,Goodie Blue,,Signature Forelock,Gen-0_E,War Paint,Mech Armour Black,,,,Female Face,Face Accessory [EMPTY],,,,,,,,Head Scarf 4,Happy,Siberian Head Gear,Selepol,,,,,
3260,VesselsGen0 #3260,1110,4138.696249154057,14,Dragon!,,,Gen-0_B,Bodymod [EMPTY],Kimono I,,,Glasses [EMPTY],Shrug Male,Face_Accessory_Freckles,Familiar [EMPTY],Blond Beard,Henry's,,,Head Ornament [EMPTY],,,Supergood,,Alexis,,,,,Tattoo [EMPTY]
3792,VesselsGen0 #3792,1111,4138.524045156264,10,Special Circle,Triangle,Blondie,Gen-0_B,,MP Tigers Jacket,,Cultural Artifact [EMPTY],,Female Face,,,,,,,,,,Supergood,,Firn,,,,,Tattoo [EMPTY]
320,VesselsGen0 #320,1112,4138.494009078732,13,Mech,,Fader,Gen-0_A,The Thin Gold Line,Kimono I,Collar [EMPTY],,,Grrrrrrrrrrrrrrrrrrr,Plaster,Skull Cat,,,,,,,,Supergood,Americas Mask,Bird Magician,,,,,Tattoo_A
1040,VesselsGen0 #1040,1113,4138.491105891779,12,The Kraken Wakes,,,Gen-0_B,Death Paint,Biker Jacket,Collar_1,,,Female Face,Face_Accessory_Freckles,Omni Nibbler,,,,Green Armour Helmet,,,,Happy,,Cloud,,,,,Tattoo_D
3316,VesselsGen0 #3316,1114,4138.368010561862,14,Icey,,,Gen-0_D,Mech Pilot Paint,Nordic Dress,Collar_4,,,Shrug Male,Face Accessory [EMPTY],Go Go Tweet Tweet,Satan's Own,,,Warlock,Head Ornament [EMPTY],,,Happy,,Tairoth,,,,,Tattoo_D
4446,VesselsGen0 #4446,1115,4138.324756469818,14,Icey,,,Hulkin,Face Palm,Feathers,,,Monocle,Rage Face,Face_Accessory_Freckles,Monster,Satan's Own,The Brigand,,,MSKD Horns,,,Supergood,,Knight,,,,,Tattoo_B
3702,VesselsGen0 #3702,1116,4138.282670323866,12,Bling,,,The Red Rage,Mech Pilot Paint,Dungarees,Collar_3,,,Female Face,Face_Accessory_Freckles,Pigmy Hooter,,,,Green Armour Helmet,,,,Supergood,,Dearest,,,,,Tattoo_D
476,VesselsGen0 #476,1117,4138.069472344126,14,Power Circle,Shapeless [EMPTY],Pretty Boy,Gen-0_D,Cyborg,Mech Armour Black,,,Glasses [EMPTY],Male Face,Face_Accessory_Freckles,Peep Oh,The Prickler,,,,,,,The Blues,,Ducer,,,,,Tattoo [EMPTY]
4680,VesselsGen0 #4680,1118,4137.977875744189,14,Angel Wings,,,Hulkin,Bodymod [EMPTY],Americas Dress,Collar [EMPTY],,,Rage Face,Face Accessory [EMPTY],Aubi,The 5 O'clock,,,Go Go Fin Head,Ciggie,,,Happy,,Andrade,,,,,Tattoo_D
4650,VesselsGen0 #4650,1119,4137.867155533748,13,Steely,,,The Void,War Paint,Hoodie,Collar_1,,,Female Face,Cheek Heart,Ice Scar,,,,Helmet Mech White,Angel Halo,,,Supergood,,Quazltroth,,,,,Tattoo [EMPTY]
2111,VesselsGen0 #2111,1120,4137.833491761044,11,Goodie Blue,Triangle,,Gen-0_A,,BK Bunnies Jacket,Collar [EMPTY],,,Female Face,,,,Hover Skater Girl Helm,I have lovely hair under this hat,,,,,Happy,,Delmas,,,,,Tattoo_A
552,VesselsGen0 #552,1121,4137.83164331974,7,Love Mist,,,,,Malfette's Armour,,,,,,Peep Oh,,,,,,,,Supergood,,Estrada,,Freaky,King Of Furries ,,
804,VesselsGen0 #804,1122,4137.624221729926,13,M O O N spells moon,,Swooshy,Gen-0_C,Face Palm,OINKY Riot Gear,,,Neonz Specz,Nova,Plaster,Aubi,,,,,Angel Halo,,,The Blues,,Oldo,,,,,Tattoo_A
4056,VesselsGen0 #4056,1123,4137.413806948605,15,Icey,,,Gen-0_A,Cyborg,Nordic Dress,Collar_1,,Glasses [EMPTY],Shrug Male,Cheek Heart,Peep Oh,Neo Dandy Beard,The Brigand,,,Ciggie,,,Supergood,,X'ryt,,,,,Tattoo [EMPTY]
1829,VesselsGen0 #1829,1124,4137.394055144059,11,Love Mist,,Signature Forelock,Gen-0_A,Face Palm,Americas Dress,,,,Tazer Face,Face Accessory [EMPTY],,,,,,MSKD Horns,,Tezzard Onesie,Happy,,Tyaestyn,,,,,
4336,VesselsGen0 #4336,1125,4137.331769412949,14,Can You Feel The Magic,Triangle,,Gen-0_C,Bodymod [EMPTY],Nordic Dress,,,NEONZ ARZ,Rage Face,Plaster,Ice Scar,Satan's Own,The Brigand,,,Ciggie,,,Happy,,Snufw,,,,,
1760,VesselsGen0 #1760,1126,4137.08161379592,12,Devil Wings,,"Skinhead, Skinhead",Gen-0_B,Death Paint,Silver's Jacket,Collar_4,,,Micky Glowing Blue Eyes,,Omni Nibbler,The 5 O'clock,,,Go Go Fin Head,,,,Happy,,Maple,,,,,
2406,VesselsGen0 #2406,1127,4136.893856424425,14,Devil Wings,,,Gen-0_D,Death Paint,Biker Jacket,Collar_7,,,Micky Glowing Blue Eyes,Plaster,Familiar [EMPTY],Mustachio And Crop,,,,MSKD Horns,,,Supergood,Ravage Mask,Komumi,,,,,Tattoo_E
709,VesselsGen0 #709,1128,4136.888076301708,13,Fire,,Betsy's Signature Fringe,Golden Child,The Thin Gold Line,Kimono I,,Native American Artefact,,Witch Eyes,Plaster,,,,,,MSKD Horns,,,Supergood,Mask [EMPTY],Chaney,,,,,Tattoo [EMPTY]
3944,VesselsGen0 #3944,1129,4136.761411514036,14,Angel Wings,Shapeless [EMPTY],,Golden Child,Bodymod [EMPTY],Nordic Dress,,,Glasses [EMPTY],Tazer Face,Cheek Heart,Ice Scar,Big Beard,The Bowler,,,Head Ornament [EMPTY],,,The Blues,,Sabre,,,,,
3992,VesselsGen0 #3992,1130,4136.743259640982,13,The Kraken Wakes,,,Gen-0_D,Death Paint,Kimono II,,Nordic Artefact,,Female Face,Cheek Heart,Pigmy Hooter,,,,,Cigar,,,Supergood,Siberian Head Gear,Quaelm,,,,,Tattoo_E
746,VesselsGen0 #746,1131,4136.71289780248,13,Fire,,,The Red Rage,Mech Pilot Paint,Africa Dress,Collar_3,,,Sideways Glance Female,Face Accessory [EMPTY],Pigmy Hooter,,,,,Cigar,,,Supergood,Ravage Mask,Conrad,,,,,Tattoo_C
2094,VesselsGen0 #2094,1132,4136.594758235714,11,Heat Death Of The Universe,,Signature Forelock,Gen-0_D,Cyborg,Go Go Merman Suit,,,,Female Face,Face Accessory [EMPTY],,,,,,,,Head Scarf 4,Supergood,Africa Mask,Ibano,,,,,
2873,VesselsGen0 #2873,1133,4136.569259018003,13,Mech,,,Gen-0_A,Mech Pilot Paint,Gillet,Collar_3,,,Female Face,Plaster,Pigmy Hooter,,,,Blue Armour Helmet,Angel Halo,,,Happy,,Noruzu,,,,,Tattoo_D
580,VesselsGen0 #580,1134,4136.482801606626,7,Rising Heat,,,,,Black Samurai Body Armour,,,,,,Monster,,,,,,,,Supergood,,Sqrotew,,Furry Yellow Body,Obligatory Ape,,
671,VesselsGen0 #671,1135,4136.441494534314,12,Devil Wings,,,Golden Child,Bodymod [EMPTY],Siberian Dress,,Native American Artefact,,Micky Glowing Blue Eyes,Cheek Heart,,,,,,Cigar,,,Supergood,Siberian Head Gear,Osuki,,,,,Tattoo [EMPTY]
2063,VesselsGen0 #2063,1136,4136.235811253098,12,Can You Feel The Magic,,Cosmic,The Void,Mech Pilot Paint,Tee_A,,,,Female Face,Face Accessory [EMPTY],Truffle Pig,,,,,,,,The Blues,Tiger Mask,Smynnstess,,,,,Tattoo_D
2483,VesselsGen0 #2483,1137,4136.183735450284,13,Rising Heat,,Swooshy,Gen-0_E,Hunter Paint,Kimono I,,African Artefact,,Micky Glowing Blue Eyes,Face Accessory [EMPTY],,,,,,Cigar,,,Supergood,Siberian Head Gear,Kimasia,,,,,Tattoo_D
4948,VesselsGen0 #4948,1138,4136.068674693782,11,Bling,,Signature Forelock,Gen-0_B,Mech Pilot Paint,Black Tee,Collar [EMPTY],,,Female Face,Eyepatch 1,,,,,,,,Hoody Up,Happy,,Cijelo,,,,,
3020,VesselsGen0 #3020,1139,4135.937873889853,7,Steely,,,,,Gabe's Clothes,,,Cyclopian,,,,,,,,,,,Supergood,,Walter,,Freaky,Doom Gang Blue Biter,,
4817,VesselsGen0 #4817,1140,4135.811580185449,13,Fire,Square,Das Mohawk,Gen-0_E,War Paint,Red Body Armour ,,,Glasses [EMPTY],Male Face,Cheek Heart,Truffle Pig,Handlebars,,,,,,,,,Swokeos,,,,,Tattoo_E
850,VesselsGen0 #850,1141,4135.795169982721,14,Can You Feel The Magic,Triangle,,Gen-0_A,Bodymod [EMPTY],Black Samurai Body Armour,,,Neonz Specz,Tazer Face,Face Accessory [EMPTY],Peep Oh,Neo Dandy Beard,The Brigand,,,MSKD Horns,,,Supergood,,Headlights,,,,,
2645,VesselsGen0 #2645,1142,4135.751481761117,14,Goodie Blue,,,Gen-0_B,War Paint,Traveller,,African Artefact,Monocle,Male Face,Face Accessory [EMPTY],Omni Nibbler,,The Brigand,,,Head Ornament [EMPTY],,,Supergood,,Twig,,,,,Tattoo_A
1327,VesselsGen0 #1327,1143,4135.693064737502,11,Mind Relaxer,,Silver Hair,Ice Cold,,MP Tigers Jacket,,,Neonz Specz,Sideways Glance Female,Face Accessory [EMPTY],Go Go Tweet Tweet,,,,,Bunny Ears,,,Supergood,,Villarreal,,,,,
3209,VesselsGen0 #3209,1144,4135.57699877022,15,Acid Green,,,Hulkin,Bodymod [EMPTY],Neodandy,Collar_5,,Glasses [EMPTY],Sideways Glance Male,Face_Accessory_Freckles,Ice Scar,The 5 O'clock,The Bowler,,,Head Ornament [EMPTY],,,Supergood,,Payton,,,,,Tattoo_B
1549,VesselsGen0 #1549,1145,4135.471406696173,15,Special Circle,Circle,Fader,Gen-0_A,Death Paint,Neodandy,Collar [EMPTY],,Glasses [EMPTY],Male Face,Plaster,Truffle Pig,Satan's Own,,,,,,,Supergood,,Esspol,,,,,Tattoo [EMPTY]
1981,VesselsGen0 #1981,1146,4135.39605453618,12,Power Circle,,,The Red Rage,Cyborg,Kimono I,,Nordic Artefact,,Grrrrrrrrrrrrrrrrrrr,Face Accessory [EMPTY],Monster,,,,,Angel Halo,,,,Siberian Head Gear,Cannoli,,,,,Tattoo_C
966,VesselsGen0 #966,1147,4135.3866137699515,13,The Kraken Wakes,,,Hulkin,Face Palm,Africa Dress,Collar_7,,,Rage Face,Face_Accessory_Freckles,Familiar [EMPTY],Mustachio And Crop,,,Blue Armour Helmet,Cigar,,,Happy,,H'naf,,,,,
3212,VesselsGen0 #3212,1148,4135.140276419821,14,Devil Wings,Shapeless [EMPTY],,Gen-0_B,Bodymod [EMPTY],Traveller,,,Glasses [EMPTY],Shrug Male,Face Accessory [EMPTY],Truffle Pig,Mustachio And Crop,Henry's,,,Head Ornament [EMPTY],,,The Blues,,Nini,,,,,
1825,VesselsGen0 #1825,1149,4134.940071210739,14,Heat Death Of The Universe,Shapeless [EMPTY],,Ice Cold,Bodymod [EMPTY],Orange Tee ,,,Neonz Specz,Shrug Male,Plaster,Ice Scar,Neo Dandy Beard,The Bowler,,,Cigar,,,Supergood,,Delinquent,,,,,
2714,VesselsGen0 #2714,1150,4134.8937919336695,10,Icey,,"Skinhead, Skinhead",The Red Rage,Hunter Paint,Black Tee,,,,Nova,Cheek Heart,,,,,,,,Tezzard Onesie,Supergood,,Onetia,,,,,
451,VesselsGen0 #451,1151,4134.805045588679,14,Heat Death Of The Universe,,Cosmic,Gen-0_C,Cyborg,Blue Body Armour,Collar_4,,,Witch Eyes,Plaster,Skull Cat,,,,,Devil Horns,,,Happy,Crow Mask,Shamm,,,,,Tattoo_E
3104,VesselsGen0 #3104,1152,4134.69577931143,9,Blood Red,,,,,BK Bunnies Jacket,Collar_1,,,,,Truffle Pig,,,,,Head Ornament [EMPTY],,,Supergood,,Diaz,,Bull Body,Mutated Pirate Face,,
4893,VesselsGen0 #4893,1153,4134.689558234745,14,Mech,,,The Void,Cyborg,Mech Armour Black,,,NEONZ ARZ,Rage Face,Face_Accessory_Freckles,Familiar [EMPTY],The 5 O'clock,The Brigand,,,Head Ornament [EMPTY],,,Supergood,,Angorm,,,,,Tattoo [EMPTY]
1213,VesselsGen0 #1213,1154,4134.686443293694,13,Love Mist,,,Gen-0_B,Face Palm,Betsy's Clothes,,Native American Artefact,,Shrug Male,Face_Accessory_Freckles,Omni Nibbler,,The Brigand,,,Head Ornament [EMPTY],,,Supergood,,Covyz,,,,,Tattoo [EMPTY]
4032,VesselsGen0 #4032,1155,4134.625227158765,14,Rising Sun,Shapeless [EMPTY],Das Mohawk,Gen-0_E,Hunter Paint,Dungarees,,,Glasses [EMPTY],Rage Face,Cheek Heart,Peep Oh,The Ghibli,,,,,,,Happy,,Quarayith,,,,,Tattoo_C
2364,VesselsGen0 #2364,1156,4134.404841926058,14,Steely,,,The Red Rage,Bodymod [EMPTY],BK Bunnies Jacket,Collar_4,,,Sideways Glance Male,Face_Accessory_Freckles,Familiar [EMPTY],Neo Dandy Beard,,,Peter's,Ciggie,,,Happy,,R'ny,,,,,Tattoo [EMPTY]
1643,VesselsGen0 #1643,1157,4134.340476850744,13,Love Mist,,,Ice Cold,Death Paint,Feathers,Collar_7,,,Female Face,Face Accessory [EMPTY],Ice Scar,,,,Peter's,Cigar,,,The Darkness,,Zihv,,,,,Tattoo_D
2356,VesselsGen0 #2356,1158,4134.294638413284,9,Goodie Blue,,,The Red Rage,The Thin Gold Line,Orange Tee ,,,,Micky Glowing Blue Eyes,Face_Accessory_Freckles,Go Go Tweet Tweet,,Hat [EMPTY],,,,,,,,Raindrop,,,,,
1664,VesselsGen0 #1664,1159,4133.963044224514,7,Mech,,,,,Betsy's Clothes,,,Monocle,,,,,,,,,,,The Blues,,Cerulle,,Ape Body,Doom Gang Blue Biter,,
2975,VesselsGen0 #2975,1160,4133.89030578108,13,Blood Red,,,Gen-0_D,Mech Pilot Paint,Tee_A,Collar_1,,,Female Face,Face_Accessory_Freckles,Peep Oh,,,,Monkey Skull,Angel Halo,,,Supergood,,Gomez,,,,,Tattoo_C
2554,VesselsGen0 #2554,1161,4133.846794970219,10,Angel Wings,Square,,Gen-0_E,,Orange Tee ,,,Neonz Specz,Witch Eyes,,,,The Brigand,,,,,Head Scarf 4,Happy,,Yer'gare,,,,,
4415,VesselsGen0 #4415,1162,4133.797162170938,14,Goodie Blue,,,Gen-0_A,Death Paint,MP Tigers Jacket,Collar_5,,,Micky Glowing Blue Eyes,Plaster,Truffle Pig,Big Beard,,,,Head Ornament [EMPTY],,,Supergood,Ravage Mask,Sparrow,,,,,Tattoo_B
4512,VesselsGen0 #4512,1163,4133.694690458955,15,Bling,,,Gen-0_D,Bodymod [EMPTY],Gillet,Collar_6,,Glasses [EMPTY],Rage Face,Cheek Heart,Omni Nibbler,The 5 O'clock,The Brigand,,,MSKD Horns,,,Supergood,,Urn'bani,,,,,Tattoo_B
123,VesselsGen0 #123,1164,4133.617750615252,10,Power Circle,,,,,Biker Jacket,,,Neonz Specz,,Face_Accessory_Freckles,Pigmy Hooter,,,,,,,,Supergood,Nordic Helmet,Lumen,,Deep One,Fish Face,,
2420,VesselsGen0 #2420,1165,4133.615997343442,13,Angel Wings,Square,The Roman,Gen-0_A,Face Palm,Green Body Armour,,,Glasses [EMPTY],Male Face,Plaster,Omni Nibbler,The Prickler,,,,,,,,,Embry,,,,,Tattoo [EMPTY]
4116,VesselsGen0 #4116,1166,4133.415487528379,14,Icey,Square,,Gen-0_B,Bodymod [EMPTY],Siberian Dress,,,Monocle,Shrug Male,Plaster,Skull Cat,Neo Dandy Beard,The Brigand,,,Cigar,,,Supergood,,Skelinia,,,,,
1969,VesselsGen0 #1969,1167,4133.193924750177,12,Rising Sun,,"Skinhead, Skinhead",Golden Child,War Paint,Black Tee,Collar [EMPTY],,,Rage Face,,Familiar [EMPTY],Neo Dandy Beard,,,Black Armour Helmet,,,,Supergood,,Aldath,,,,,
316,VesselsGen0 #316,1168,4132.959341024646,10,Fire,,Signature Forelock,Golden Child,Mech Pilot Paint,Red Tee,,,,Nova,Plaster,,,,,,,,Tezzard Onesie,Happy,,Angtas,,,,,
1332,VesselsGen0 #1332,1169,4132.867141839052,12,Blood Red,,Rainbow Hair,Hulkin,Bodymod [EMPTY],Silver's Jacket,,,,Evil Eyes,Face_Accessory_Freckles,Truffle Pig,,,,,,,,The Blues,Tiger Mask,Booker,,,,,Tattoo_A
2439,VesselsGen0 #2439,1170,4132.865138128496,10,Steely,Circle,Dreads,Gen-0_A,,Yellow Jumper,,Cultural Artifact [EMPTY],,Female Face,,,,,,,,,,Supergood,,Gesh,,,,,Tattoo [EMPTY]
1495,VesselsGen0 #1495,1171,4132.807704938523,9,Mech,,,,,Biker Jacket,,,Cyclopian,,,Omni Nibbler,,,,,Angel Halo,,,Happy,,Risen,,Ape Body,Doom Gang Blue Biter,,
4345,VesselsGen0 #4345,1172,4132.703631109098,7,Dragon!,,,,,Mech Armour White,,,,,,Peep Oh,,,,,,,,Supergood,,Therep-ess,,Ape Body,Doom Gang Blue Biter,,
599,VesselsGen0 #599,1173,4132.674573956432,14,Icey,Shapeless [EMPTY],,Gen-0_D,Bodymod [EMPTY],Go Go Merman Suit,,,Neonz Specz,Shrug Male,Face_Accessory_Freckles,Pigmy Hooter,Mustachio And Crop,War Pig,,,Cigar,,,The Blues,,Myler,,,,,
3024,VesselsGen0 #3024,1174,4132.573650718399,11,Love Mist,,Pretty Boy,Ice Cold,Hunter Paint,Blue Body Armour,,,,Male Face,Cheek Heart,,,,,,ZIGGY,,,Happy,,English,,,,,Tattoo [EMPTY]
4963,VesselsGen0 #4963,1175,4132.486025738762,13,Heat Death Of The Universe,,,Ice Cold,Bodymod [EMPTY],Yellow Jumper,Collar_2,,,Female Face,Face Accessory [EMPTY],Omni Nibbler,,,,Monkey Skull,Angel Halo,,,The Blues,,Nemamutsu,,,,,Tattoo [EMPTY]
1568,VesselsGen0 #1568,1176,4132.387061923768,13,Rising Heat,,Blondie,Ice Cold,Face Palm,Siberian Dress,,,Neonz Specz,Grrrrrrrrrrrrrrrrrrr,Face Accessory [EMPTY],Peep Oh,,,,,Horn Bandana,,,Happy,,Nihilist,,,,,Tattoo_C
957,VesselsGen0 #957,1177,4132.2858924534685,13,Heat Death Of The Universe,,,Gen-0_B,War Paint,Hoodie,Collar_3,,,Female Face,Cheek Heart,Familiar [EMPTY],,,,Black Armour Helmet,Angel Halo,,,Supergood,,Leskelusk,,,,,Tattoo_D
423,VesselsGen0 #423,1178,4132.2562008743,13,Acid Green,,Rough Bob,Gen-0_B,Face Palm,Hoodie,Collar_5,,,Grrrrrrrrrrrrrrrrrrr,Cheek Heart,Omni Nibbler,,,,,,,,Supergood,Nordic Helmet,Lamprey,,,,,Tattoo_B
3003,VesselsGen0 #3003,1179,4132.228677866683,15,Goodie Blue,,,Gen-0_C,Face Palm,BK Bunnies Jacket,Collar_1,,Glasses [EMPTY],Tazer Face,Cheek Heart,Familiar [EMPTY],The Prickler,The Brigand,,,Devil Horns,,,Supergood,,Gerit,,,,,Tattoo_B
1486,VesselsGen0 #1486,1180,4132.130411151625,11,Goodie Blue,,Blue Hair ,The Red Rage,Bodymod [EMPTY],Blue Body Armour,,,,Grrrrrrrrrrrrrrrrrrr,Plaster,,,,,,ZIGGY,,,Supergood,,Towche,,,,,Tattoo_E
3344,VesselsGen0 #3344,1181,4132.094383282614,13,Power Circle,,,Gen-0_C,Face Palm,Kimono II,,African Artefact,,Rage Face,Face_Accessory_Freckles,Familiar [EMPTY],,,,,Head Ornament [EMPTY],,,Happy,Africa Mask,Micah,,,,,Tattoo [EMPTY]
563,VesselsGen0 #563,1182,4131.917424350028,9,Acid Green,,,,,Gen-0 Suit,,,Dutch's,,,Truffle Pig,,,,,MSKD Horns,,,Happy,,Asytia,,Ape Body,Doom Gang Yellow Biter,,
1878,VesselsGen0 #1878,1183,4131.878230809559,10,Bling,Circle,Rough Bob,Gen-0_C,,BK Bunnies Jacket,,Cultural Artifact [EMPTY],,Female Face,,,,,,,,,,Happy,,Den'ane,,,,,Tattoo_A
4166,VesselsGen0 #4166,1184,4131.813309349868,10,Can You Feel The Magic,,,,,Black Samurai Body Armour,,,NEONZ ARZ,,Face_Accessory_Freckles,Pigmy Hooter,,,,,,,,Supergood,Mask [EMPTY],Typhlt,,Deep One,Fish Face,,
4236,VesselsGen0 #4236,1185,4131.585093017049,14,Can You Feel The Magic,Circle,,Hulkin,Bodymod [EMPTY],Red Tee,,,Glasses [EMPTY],Rage Face,Cheek Heart,Skull Cat,Satan's Own,Henry's,,,Cigar,,,Supergood,,Rentz,,,,,
2126,VesselsGen0 #2126,1186,4131.550360600975,12,M O O N spells moon,,Signature Forelock,Gen-0_D,Face Palm,Red Tee,Collar [EMPTY],,,Rage Face,,Familiar [EMPTY],The Prickler,,,Helmet White,,,,Supergood,,Lerasia,,,,,
1049,VesselsGen0 #1049,1187,4131.347623608531,14,Love Mist,,,Hulkin,Hunter Paint,Neodandy,Collar [EMPTY],,,Rage Face,Plaster,Ice Scar,Neo Dandy Beard,,,Warlock,Devil Horns,,,The Darkness,,Oldbeltur,,,,,Tattoo [EMPTY]
1122,VesselsGen0 #1122,1188,4131.327791468151,12,Rising Heat,,"Skinhead, Skinhead",Gen-0_D,Face Palm,Biker Jacket,Collar_6,,,Shrug Male,,Truffle Pig,The 5 O'clock,,,Warlock,,,,Happy,,McRae,,,,,
1311,VesselsGen0 #1311,1189,4131.251566252523,8,Heat Death Of The Universe,Square,Fader,Gen-0_E,,Gen-0 Suit,,,,Male Face,,,Groom [EMPTY],,,,,,,,,Zeidem,,,,,
1200,VesselsGen0 #1200,1190,4131.033288912372,11,Love Mist,,Rough Bob,Gen-0_E,Face Palm,Silver's Jacket,,,,Grrrrrrrrrrrrrrrrrrr,Face_Accessory_Freckles,,,,,,ZIGGY,,,Supergood,,Ech'ver,,,,,Tattoo_C
2261,VesselsGen0 #2261,1191,4130.952963376362,12,Love Mist,,,Gen-0_E,Death Paint,Gillet,Collar_1,,,Female Face,Plaster,Skull Cat,,,,Green Armour Helmet,,,,Happy,,Lerama,,,,,Tattoo_C
251,VesselsGen0 #251,1192,4130.807328462064,10,Rising Heat,Square,Rough Bob,Gen-0_E,,Kimono I,,Cultural Artifact [EMPTY],,Female Face,,,,,,,,,,Supergood,,Uskeath,,,,,Tattoo_A
4249,VesselsGen0 #4249,1193,4130.684622432195,15,Bling,,,Hulkin,Bodymod [EMPTY],Biker Jacket,Collar [EMPTY],,Neonz Vizor,Male Face,Cheek Heart,Omni Nibbler,The Prickler,Henry's,,,Head Ornament [EMPTY],,,Supergood,,Awdyn,,,,,Tattoo [EMPTY]
2156,VesselsGen0 #2156,1194,4130.433387806401,12,Angel Wings,,,Hulkin,Death Paint,Neodandy,Collar_2,,,Female Face,Face Accessory [EMPTY],Skull Cat,,,,Helmet White,,,,Supergood,,Maslye,,,,,Tattoo_A
527,VesselsGen0 #527,1195,4130.29949032075,12,Icey,,Signature Forelock,Gen-0_E,Cyborg,Yellow Jumper,Collar_5,,,Male Face,,Truffle Pig,The Ghibli,,,Warlock,,,,Supergood,,Archer,,,,,
3239,VesselsGen0 #3239,1196,4130.296909908181,14,Dragon!,,,Gen-0_B,Death Paint,Red Body Armour ,,,Glasses [EMPTY],Tazer Face,Face_Accessory_Freckles,Skull Cat,The 5 O'clock,The Bowler,,,Head Ornament [EMPTY],,,Happy,,Tainadil,,,,,Tattoo_B
1188,VesselsGen0 #1188,1197,4130.256229045725,14,Dragon!,Circle,Gabe Cut,Gen-0_B,Cyborg,Siberian Dress,,,NEONZ ARZ,Male Face,Face Accessory [EMPTY],Peep Oh,Mustachio And Crop,,,,,,,Happy,,Piggy,,,,,Tattoo [EMPTY]
4240,VesselsGen0 #4240,1198,4130.248561398204,9,Goodie Blue,,,,,Betsy's Clothes,,,NEONZ ARZ,,,Omni Nibbler,,,,,Devil Horns,,,Happy,,Trevino,,Freaky,King Of Furries ,,
1687,VesselsGen0 #1687,1199,4130.11711451989,10,Steely,,,,,Betsy's Clothes,,,Glasses [EMPTY],,Face_Accessory_Freckles,Pigmy Hooter,,,,,,,,Happy,Siberian Head Gear,Ximen,,Deep One,Fish Face,,
4925,VesselsGen0 #4925,1200,4130.116938057003,12,Power Circle,,,The Red Rage,Face Palm,Biker Jacket,Collar_3,,,Female Face,Face_Accessory_Freckles,Truffle Pig,,,,Green Armour Helmet,,,,Happy,,Walleye,,,,,Tattoo_E
3026,VesselsGen0 #3026,1201,4130.095868086646,14,Bling,,,Gen-0_B,War Paint,Nordic Dress,,,Dutch's,Male Face,Face_Accessory_Freckles,Familiar [EMPTY],Big Beard,The Brigand,,,Ciggie,,,Happy,,Nutal,,,,,Tattoo [EMPTY]
2418,VesselsGen0 #2418,1202,4130.004572213311,10,Blood Red,Circle,,Gen-0_E,,Orange Tee ,,,Glasses [EMPTY],Nova,,,,,,Blue Armour Helmet,,,Head Scarf 2,Supergood,,Akje,,,,,
3515,VesselsGen0 #3515,1203,4129.984475594099,15,Blood Red,,,Gen-0_C,Bodymod [EMPTY],Gillet,Collar_5,,Glasses [EMPTY],Male Face,Face Accessory [EMPTY],Peep Oh,Satan's Own,The Brigand,,,MSKD Horns,,,Supergood,,Roru,,,,,Tattoo_D
